pot_no,nh4,beta,bg_scam10,bg_sppa10,total_bg,site_frame,level,position,co2,salinity,comp,elevation,genotype,location,depth_seed,cohort,origin_lab,date_cloned_grp,date_planted_grp,weight_init,width_init,nodes_init,agb_scam,agb_sppa,dens_scam_live,dens_scam_dead,height_sppa,height_scam_tot,height_scam_grn,width_scam_mid,width_scam_bas,prop_twist,soil_to_pot,id,extinct,age
64,32.61089403,0.9361254193890255,8.879,NA,16.029,fresh_2,2,8,elevated,fresh,0,0.4086666666666667,km3,kirkpatrick,0,kirk_modern,utk,1,1,0.676,1.49,1,8.413,0,21,2,53,52.04761904761905,50.22857142857143,3.7285714285714286,4.085714285714285,0.38095238095238093,5.5,fresh_2_2_8,0,modern
65,NA,0.8742304070379252,5.573,NA,7.263000000000001,fresh_2,3,1,elevated,fresh,0,0.30733333333333335,b2,blackwater,10,blackwater,nd,3,2,0.756,2.33,2,5.867999999999999,0,19,1,NA,48.388888888888886,47.80555555555556,4,4.316666666666666,0,5,fresh_2_3_1,0,modern
66,NA,0.9160995304999713,6.277,NA,10.828,fresh_2,3,2,elevated,fresh,0,0.30733333333333335,km5,kirkpatrick,extant,kirk_modern,nd,1,1,0.975,3.21,1,7.398999999999999,0,26,1,NA,51.32692307692308,50.65384615384615,3.5846153846153848,4.046153846153846,0.07692307692307693,4,fresh_2_3_2,0,modern
67,NA,0.8652738936896762,6.198,NA,8.012,fresh_2,3,3,elevated,fresh,0,0.30733333333333335,ca8,corn,15,corn_ancestral,nd,2,1,1.344,2.75,2,6.718019824450602,0,23,1,NA,53,51.47727272727273,3.827272727272727,4.3954545454545455,0.2727272727272727,4,fresh_2_3_3,0,ancestral
68,NA,0.8848482827814845,9.279,NA,12.771,fresh_2,3,4,elevated,fresh,0,0.30733333333333335,ka6,kirkpatrick,16,kirk_ancestral,utk,1,1,0.624,2.53,1,9.63,0,21,1,NA,53.333333333333336,52.42857142857143,4.857142857142857,5.561904761904762,0.2857142857142857,4.5,fresh_2_3_4,0,ancestral
69,NA,NA,5.201,0.398,9.350999999999999,fresh_2,3,5,elevated,fresh,1,0.30733333333333335,ca4,corn,20.75,corn_ancestral,utk,1,1,0.718,1.52,1,6.477,1.517,21,3,66,44.714285714285715,43.73809523809524,3.4285714285714284,3.9047619047619047,0.42857142857142855,4,fresh_2_3_5,0,ancestral
70,NA,0.9204837522528838,2.144,NA,4.6370000000000005,fresh_2,3,6,elevated,fresh,0,0.30733333333333335,ca2,corn,18.75,corn_ancestral,utk,1,1,1.063,1.86,2,5.874070208266427,0,21,1,NA,50.95,48.9,3.74,4.22,0.45,4.5,fresh_2_3_6,0,ancestral
71,NA,NA,7.312,1.59,13.08,fresh_2,3,7,elevated,fresh,1,0.30733333333333335,cm2,corn,0,corn_modern,utk,2,1,0.603,0.96,1,7.502000000000001,4.885,17,1,66.5,56.14705882352941,55.44117647058823,4.5,5.170588235294118,0.23529411764705882,3.5,fresh_2_3_7,0,modern
72,NA,0.8992710914686182,7.296,NA,11.579,fresh_2,3,8,elevated,fresh,0,0.30733333333333335,cm4,corn,0,corn_modern,utk,1,1,0.56,1.4,2,6.972066173397092,0,26,3,NA,46,45.06521739130435,3.2869565217391306,3.747826086956522,0.4782608695652174,6,fresh_2_3_8,0,modern
73,NA,0.8541113658891051,8.721,NA,10.892,fresh_2,4,1,elevated,fresh,0,0.20966666666666667,ca7,corn,20.75,corn_ancestral,utk,2,1,1.319,1.81,1,11.03679110377734,0,20,2,NA,68.92631578947369,66.89473684210526,4.531578947368421,5.057894736842106,0.3684210526315789,2.5,fresh_2_4_1,0,ancestral
