pot_no,genotype,provenance,age,elevation,salinity,co2,comp,agb_scam,total_bg
244,cm9,corn,modern,0.5093333333333333,fresh,elevated,1,2.9339999999999997,10.298
245,cm4,corn,modern,0.5093333333333333,fresh,elevated,1,2.243,9.618
246,b1,blackwater,modern,0.5093333333333333,fresh,elevated,0,3.898,9.189
247,cm5,corn,modern,0.5093333333333333,fresh,elevated,0,6.564,12.889
248,ca10,corn,ancestral,0.5093333333333333,fresh,elevated,0,0,NA
249,b3,blackwater,modern,0.408,fresh,elevated,0,4.601999999999999,11.244
250,cm2,corn,modern,0.408,fresh,elevated,0,5.18,11.704
251,ca10,corn,ancestral,0.408,fresh,elevated,1,6.556,12.631
252,cm3,corn,modern,0.408,fresh,elevated,0,4.8870000000000005,6.204
253,ca4,corn,ancestral,0.408,fresh,elevated,0,4.495,8.206
254,ca3,corn,ancestral,0.408,fresh,elevated,1,1.8079999999999998,6.002
255,km1,kirkpatrick,modern,0.408,fresh,elevated,0,7.408,12.47
256,cm6,corn,modern,0.408,fresh,elevated,1,5.1049999999999995,13.312
257,ka1,kirkpatrick,ancestral,0.30233333333333334,fresh,elevated,0,9.421,12.907
258,ca5,corn,ancestral,0.30233333333333334,fresh,elevated,1,10.456000000000001,14.209999999999999
259,km4,kirkpatrick,modern,0.30233333333333334,fresh,elevated,0,7.38,11.408
260,cm5,corn,modern,0.30233333333333334,fresh,elevated,0,10.348362676403026,16.887
261,cm9,corn,modern,0.30233333333333334,fresh,elevated,1,10.419,17.869
262,ca9,corn,ancestral,0.30233333333333334,fresh,elevated,0,0,NA
263,ca1,corn,ancestral,0.30233333333333334,fresh,elevated,0,9.40955409013036,17.002
264,cm1,corn,modern,0.30233333333333334,fresh,elevated,1,3.642,3.7990000000000004
265,cm4,corn,modern,0.202,fresh,elevated,1,7.692,9.668
266,ca10,corn,ancestral,0.202,fresh,elevated,0,0,NA
267,cm10,corn,modern,0.202,fresh,elevated,0,0,NA
268,ca8,corn,ancestral,0.202,fresh,elevated,1,5.974,6.3309999999999995
269,cm4,corn,modern,0.202,fresh,elevated,0,4.972583872779404,6.009
270,ca1,corn,ancestral,0.202,fresh,elevated,1,4.776,7.911
271,km6,kirkpatrick,modern,0.202,fresh,elevated,0,0,NA
272,ka5,kirkpatrick,ancestral,0.202,fresh,elevated,0,8.813,12.33
273,ca8,corn,ancestral,0.09566666666666668,fresh,elevated,0,0,NA
274,b4,blackwater,modern,0.09566666666666668,fresh,elevated,0,0,NA
275,ca4,corn,ancestral,0.09566666666666668,fresh,elevated,1,0,NA
276,cm10,corn,modern,0.09566666666666668,fresh,elevated,0,0,NA
277,cm2,corn,modern,0.09566666666666668,fresh,elevated,1,0,NA
278,ka6,kirkpatrick,ancestral,0.09566666666666668,fresh,elevated,0,0,NA
279,km5,kirkpatrick,modern,0.09566666666666668,fresh,elevated,0,0,NA
280,ca2,corn,ancestral,0.09566666666666668,fresh,elevated,0,0,NA
281,cm10,corn,modern,-0.0059999999999999915,fresh,elevated,0,0,NA
282,ca4,corn,ancestral,-0.0059999999999999915,fresh,elevated,0,0,NA
283,cm1,corn,modern,-0.0059999999999999915,fresh,elevated,1,0,NA
284,ca7,corn,ancestral,-0.0059999999999999915,fresh,elevated,1,0,NA
285,b3,blackwater,modern,-0.0059999999999999915,fresh,elevated,0,0,NA
286,ka5,kirkpatrick,ancestral,-0.0059999999999999915,fresh,elevated,0,0,NA
287,km5,kirkpatrick,modern,-0.0059999999999999915,fresh,elevated,0,0,NA
288,cm6,corn,modern,-0.0059999999999999915,fresh,elevated,1,0,NA
289,ca4,corn,ancestral,0.49533333333333335,fresh,ambient,0,3.362,7.27
290,cm9,corn,modern,0.49533333333333335,fresh,ambient,1,4.088,7.518
291,ca1,corn,ancestral,0.49533333333333335,fresh,ambient,1,3.392,8.429
292,cm1,corn,modern,0.49533333333333335,fresh,ambient,1,2.631,7.687
293,ca6,corn,ancestral,0.49533333333333335,fresh,ambient,0,4.536,9.214
294,ka5,kirkpatrick,ancestral,0.49533333333333335,fresh,ambient,0,3.091,6.4719999999999995
295,cm4,corn,modern,0.49533333333333335,fresh,ambient,0,2.1029999999999998,6.657
296,km3,kirkpatrick,modern,0.49533333333333335,fresh,ambient,0,2.8150000000000004,7.798
297,cm5,corn,modern,0.39033333333333337,fresh,ambient,1,7.317,11.38
298,ca9,corn,ancestral,0.39033333333333337,fresh,ambient,1,5.284,7.790000000000001
299,ca5,corn,ancestral,0.39033333333333337,fresh,ambient,0,6.209,12.513
300,cm8,corn,modern,0.39033333333333337,fresh,ambient,0,4.338,5.954000000000001
301,ca2,corn,ancestral,0.39033333333333337,fresh,ambient,1,4.992,13.08
302,b1,blackwater,modern,0.39033333333333337,fresh,ambient,0,6.9079999999999995,10.450000000000001
303,ka3,kirkpatrick,ancestral,0.39033333333333337,fresh,ambient,0,4.671,8.936
304,cm9,corn,modern,0.39033333333333337,fresh,ambient,0,8.317,13.444
305,km1,kirkpatrick,modern,0.2936666666666667,fresh,ambient,0,9.966999999999999,11.198
306,ca7,corn,ancestral,0.2936666666666667,fresh,ambient,0,12.66190353716211,14.722000000000001
307,cm10,corn,modern,0.2936666666666667,fresh,ambient,0,2.595228469116509,1.6119999999999999
308,b2,blackwater,modern,0.2936666666666667,fresh,ambient,0,7.78,8.834
309,cm3,corn,modern,0.2936666666666667,fresh,ambient,1,7.9750000000000005,9.658
310,ca6,corn,ancestral,0.2936666666666667,fresh,ambient,0,9.733027994330518,15.475
311,ka4,kirkpatrick,ancestral,0.2936666666666667,fresh,ambient,0,7.003,10.97
312,ca1,corn,ancestral,0.2936666666666667,fresh,ambient,1,8.323,11.772
313,cm6,corn,modern,0.198,fresh,ambient,0,9.25066461377161,8.578
314,cm3,corn,modern,0.198,fresh,ambient,0,0.007,0.084
315,ca8,corn,ancestral,0.198,fresh,ambient,1,0,NA
316,km2,kirkpatrick,modern,0.198,fresh,ambient,0,2.737,1.592
